address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zipcode
2243 Franklin St,2,2,1463,2/5/2016,1950000,37.795139,-122.425309,Pacific Heights,7,Condominium,1900,94109
2002 Pacific Ave APT 4,3.5,3,3291,1/22/2016,4200000,37.794429,-122.428513,Pacific Heights,7,Condominium,1961,94109
1945 Washington St APT 411,1,1,653,12/16/2015,665000,37.792472,-122.425281,Pacific Heights,3,Condominium,1987,94109
1896 Pacific Ave APT 802,2.5,2,2272,12/17/2014,2735000,37.794706,-122.426347,Pacific Heights,6,Condominium,1924,94109
1840 Washington St APT 603,1,1,837,12/2/2015,1050000,37.793212,-122.423744,Pacific Heights,3,Condominium,2012,94109
1770 Pacific Ave APT 103,2,2,1500,11/25/2015,1760000,37.794927,-122.424508,Pacific Heights,8,Condominium,1902,94109
1895 Pacific Ave APT 506,1,1,1165,11/20/2015,975000,37.794168,-122.426243,Pacific Heights,4,Condominium,1931,94109
1950 Gough St APT 405,1,1,950,11/10/2015,1095000,37.791558,-122.425677,Pacific Heights,4,Condominium,1926,94109
1950 Gough St APT 304,1,1,1040,11/3/2015,1227000,37.791558,-122.425677,Pacific Heights,4,Condominium,1926,94109
2040 Franklin St APT 506,1,0,791,11/2/2015,540000,37.793519,-122.424316,Pacific Heights,3,Condominium,1966,94109
1998 Pacific Ave APT 203,2,2,1075,10/19/2015,1105000,37.794495,-122.427985,Pacific Heights,4,Condominium,1964,94109
2016 Pacific Ave APT 204,2.5,2,1150,10/13/2015,1495000,37.794364,-122.428918,Pacific Heights,5,Condominium,2008,94109
1950 Gough St APT 402,1,1,900,10/9/2015,1050000,37.791558,-122.425677,Pacific Heights,4,Condominium,1926,94109
2040 Franklin St APT 604,1,1,706,10/8/2015,890000,37.793519,-122.424316,Pacific Heights,5,MultiFamily2To4,1966,94109
1740 Franklin St APT 3,2,2,1688,10/1/2015,1085000,37.790742,-122.423775,Pacific Heights,6,MultiFamily2To4,1913,94109
1835 Franklin St APT 1103,2,2,1400,9/15/2015,1565000,37.791564,-122.424608,Pacific Heights,4,Condominium,1965,94109
2245 Franklin St,2,2,1243,9/8/2015,1700000,37.795139,-122.425309,Pacific Heights,4,Condominium,1900,94109
2002 California St,4,4,1720,8/13/2015,3750000,37.789908,-122.427852,Pacific Heights,9,SingleFamily,1923,94109
2090 Pacific Ave APT 206,1,1,740,8/7/2015,805000,37.79431,-122.42961,Pacific Heights,2,Condominium,1928,94109
1818 Broadway APT 401,1.75,1,700,8/4/2015,702000,37.795507,-122.427648,Pacific Heights,3,Condominium,1969,94109
1701 Jackson St APT 702,1,1,774,7/31/2015,875000,37.79343,-122.423435,Pacific Heights,3,Condominium,2008,94109
1998 Broadway APT 906,2,2,1170,7/30/2015,1490000,37.795275,-122.4298,Pacific Heights,5,Condominium,1964,94109
1998 Broadway APT 904,2,2,980,7/21/2015,1425000,37.795275,-122.4298,Pacific Heights,5,Condominium,1964,94109
1998 Broadway APT 807,2,2,1200,7/17/2015,1225000,37.795275,-122.4298,Pacific Heights,5,Condominium,1964,94109
1835 Franklin St APT 1003,2,2,1500,7/15/2015,1560000,37.791564,-122.424608,Pacific Heights,4,Condominium,1965,94109
1895 Pacific Ave APT 305,1.5,1,1115,7/1/2015,1075000,37.794168,-122.426243,Pacific Heights,4,Condominium,1931,94109
1855 Sacramento St APT 2,1,2,1222,6/26/2015,1305000,37.790911,-122.423374,Pacific Heights,5,Condominium,1916,94109
1775 Broadway # 19,2,2,1069,6/19/2015,1427000,37.795127,-122.426213,Pacific Heights,5,Condominium,1925,94109
1840 Washington St APT 203,1,1,863,6/12/2015,895000,37.793212,-122.423744,Pacific Heights,3,Condominium,2012,94109
1769 Broadway APT 8,2,2,1343,6/10/2015,1600000,37.795127,-122.426213,Pacific Heights,5,Condominium,1925,94109
2010 Jackson St,6,4,4798,5/29/2015,11500000,37.793532,-122.428354,Pacific Heights,8,SingleFamily,1960,94109
1895 Pacific Ave APT 505,1,1,1115,5/8/2015,1211000,37.794168,-122.426243,Pacific Heights,4,Condominium,1931,94109
2171 Sacramento St APT 3,1,1,610,4/29/2015,830000,37.790253,-122.428515,Pacific Heights,4,Condominium,1970,94109
1896 Pacific Ave APT 204,3.5,3,2767,4/28/2015,2739500,37.794706,-122.426347,Pacific Heights,8,Condominium,1924,94109
1896 Pacific Ave APT 402,3,3,2631,4/14/2015,2251000,37.794706,-122.426347,Pacific Heights,7,Condominium,1924,94109
2040 Franklin St APT 1206,1,1,791,4/7/2015,530000,37.793519,-122.424316,Pacific Heights,3,Condominium,1966,94109
1940 Sacramento St APT 1,2,3,1700,3/13/2015,1603000,37.791255,-122.42496,Pacific Heights,6,Condominium,1923,94109
